"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-200-warmup","read-mix","10k","200","5726","186.88398348381403","5724","186.81870790453223","276","0","1","594.8440385","1706.8988650000001","2102.56895625","2815.363308","725.7488749634979","5780.788332","54599775","5809828"
"read-200-r1","read-mix","10k","200","24003","199.6959521846428","24001","199.67931293520027",,"0","1","9.133175","15.123996999999997","18.290139599999986","30.270269639999995","9.970274351747733","170.931564","243158708","24356363"
"read-200-r2","read-mix","10k","200","24002","199.7897270191633","24000","199.77307926255807",,"0","1","8.3577625","13.134471500000002","15.5133676","22.541482860000023","8.862588383509697","121.957693","242966858","24355520"
"read-200-r3","read-mix","10k","200","24002","199.8342582987404","24000","199.81760683150443",,"0","1","8.6354205","13.441764600000003","15.890002550000004","23.447143710000066","9.131416604532902","99.923373","242973022","24355426"
