"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"auth-1-r1","auth-flow","100k","1","13541","112.82847420484217","3385","28.20503546144234",,"0","1","8.072354","11.436102","13.525137","22.296545600000005","8.580415418949858","741.156764","17194225","13306657"
"auth-1-r2","auth-flow","100k","1","15689","130.7034421650823","3922","32.6737778170344",,"0","1","7.510352","9.437356000000001","10.362897199999999","12.80408184","7.372639054942955","88.747841","19921510","15417604"
"auth-1-r3","auth-flow","100k","1","11502","95.84076649449827","2876","23.96435788890428",,"0.0000869414014953921","1","7.6217475","9.6932197","10.814485849999999","14.244480659999992","7.541960851851861","76.786229","14604065","11301847"
"auth-5-r1","auth-flow","100k","1","40209","335.0093838700002","10054","83.76692644504917",,"0.00022383048571215399","0.9999289368959636","8.1933","9.9605326","10.7456088","14.376892079999942","7.953152154641977","125.079796","51052266","39502705"
"auth-5-r2","auth-flow","100k","1","55157","459.46105211356587","13788","114.85485045491681",,"0.00007252026034773465","0.9999585603878748","8.433672","10.895617200000002","12.483266799999999","18.13908448","8.436098298293922","103.539992","70037172","54197774"
"auth-5-r3","auth-flow","100k","1","59917","499.2456193009866","14978","124.80098946693221",,"0","1","8.13259","11.393217","13.6615784","21.921764399999986","8.435959179014358","152.774016","76082777","58879628"
