"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-50-warmup","read-mix","10k","50","1503","49.228081393549026","1501","49.16257496454896",,"0","1","11.823243","18.9448588","22.093690699999993","34.80273196","13.44216744910179","448.793227","15552210","1524984"
"read-50-r1","read-mix","10k","50","6002","49.96920199270036","6000","49.952551142319585",,"0","1","8.5920865","13.232742200000004","15.3362413","18.938705059999997","9.185953095301587","106.235409","60768613","6089781"
"read-50-r2","read-mix","10k","50","6002","49.9741883645984","6000","49.95753585264752",,"0","1","7.783792999999999","11.815769900000003","14.3616587","17.43483174999998","8.332459988837057","98.095094","60766693","6089781"
"read-50-r3","read-mix","10k","50","6003","49.96175303088366","6001","49.94510743600414",,"0","1","7.936829","13.4324182","15.055610099999992","21.003198079999965","8.737731896052008","130.485792","60765830","6090780"
"read-100-warmup","read-mix","10k","100","3002","74.86790829487872","3000","74.81802960847307",,"0","1","7.287725","10.7711584","13.65040385","15.664712089999991","7.7357896725516175","87.301639","30822820","3045735"
"read-100-r1","read-mix","10k","100","12003","99.94750037421859","12001","99.93084662092788",,"0.00008331250520703157","0.999916687494793","7.091154","10.474858000000003","13.375858199999998","15.245238739999978","7.5008469407647755","82.358848","120983300","12178233"
"read-100-r2","read-mix","10k","100","12003","99.94467827246328","12001","99.9280249894053",,"0","1","7.095577","10.4835586","13.4138192","15.37696773999999","7.518359776055981","81.450142","121498111","12179340"
"read-100-r3","read-mix","10k","100","12001","99.92753316162569","11999","99.91087996053218","2","0","1","7.69145","13.502229","15.646362","34.000903","9.43562053112241","409.30842","121837905","12178110"
"read-200-warmup","read-mix","10k","200","6003","199.28761086330908","6001","199.2212148576908",,"0","1","7.973175","12.417267","14.832069899999999","20.765918119999977","8.514069370481442","98.191574","61124678","6090970"
"read-200-r1","read-mix","10k","200","24001","199.81741752366287","23999","199.80076676598412","2","0","1","8.161789","13.741223","16.998136","42.024181","9.671031657639315","319.010229","242311807","24354556"
"read-200-r2","read-mix","10k","200","24003","199.84927029332303","24001","199.83261826896828",,"0","1","8.307996","13.318527","15.8636995","28.378056099999938","9.074239662042265","142.791731","242913679","24356214"
"read-200-r3","read-mix","10k","200","24003","199.8329563823827","24001","199.81630571735062",,"0","1","8.479808","13.992412399999996","16.524217299999993","26.572010319999965","9.239584623463728","100.429248","243017465","24356448"
"read-400-warmup","read-mix","10k","400","11906","390.48219278249525","11904","390.4165985959032","97","0","1","154.8784995","375.799234","464.35035725","671.6835995000001","182.0173418559551","1276.395396","120309487","12081000"
"read-400-r1","read-mix","10k","400","43053","352.15126011534494","43051","352.13490115034296","4950","0","1","1977.708981","2704.7300318000002","2966.2980824","3483.5799858400114","1978.3550949886442","5074.391542","430844173","43685966"
"read-400-r2","read-mix","10k","400","47841","367.7284512475315","47839","367.7130783058602","159","0","1","49.23655","294.796281","397.823899","654.0119893999989","111.94236761079392","1690.230151","483662582","48546380"
"read-400-r3","read-mix","10k","400","44783","368.1912062758839","44781","368.1747629287979","3219","0.00029028872563249445","0.9997097112743675","1657.785381","2469.3835242000005","2732.2509328","3311.91165448","1451.6518541875535","6061.378925","450235654","45430210"
"read-800-warmup","read-mix","10k","800","13112","384.24578841180715","13110","384.1871786210183","10890","0","1","3786.967832","4460.9379009","4676.0172962","5086.6566492599995","3359.8654677936975","6100.158909","130122183","13301633"
"read-800-r1","read-mix","10k","800","47557","383.1280168679182","47555","383.11190449679015","48445","0","1","4005.101982","4694.3052677999995","4958.735096599999","5409.361159320002","3940.1982024734875","6866.004976","469368285","48255970"
"read-800-r2","read-mix","10k","800","48689","393.227303131616","48687","393.21115051796073","47313","0","1","3907.11071","4576.6905484","4784.7976138","5245.140758600001","3841.2656038889827","7248.071697","482476666","49403827"
"read-800-r3","read-mix","10k","800","49161","396.64396032408706","49159","396.6278237947112","46841","0","1","3887.070902","4488.305242","4698.728984","5201.300784600001","3805.742461424462","6864.520617","486470916","49884189"
