"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-50-warmup","read-mix","100k","50","996","28.867448189190476","994","28.809481425758367","507","0","1","2441.8453095","5181.9394375","6270.0757445","8169.269412099997","2794.3041541546204","10937.58199","23321020","978256"
"read-50-r1","read-mix","100k","50","2918","23.42971307322212","2916","23.413654325399488","3084","0","1","3487.5662270000003","7445.345166800002","8897.741024450004","12615.939374829986","3904.891746398901","17769.028912","52208931","2873245"
"read-50-r2","read-mix","100k","50","2929","23.096686968920096","2927","23.08091592967877","3074","0","1","3479.674996","7877.825626600001","9114.678245399995","11569.767457279997","3951.2683432253407","19231.637379","53234258","2884271"
"read-50-r3","read-mix","100k","50","2917","23.468321352735906","2915","23.45223062846252","3085","0","1","3474.487726","7590.8696116","8904.114015999992","11591.245379840002","3928.9560779886915","16074.331823","52001393","2873088"
"read-100-warmup","read-mix","100k","100","1218","32.93029129355625","1216","32.876218565652216","1785","0","1","4513.316812499999","9888.1796219","12031.809459349997","16275.959410009964","4813.81188338916","21448.166772","26740215","1196669"
"read-100-r1","read-mix","100k","100","3704","28.807537261390383","3702","28.79198243565529","8299","0","1","5752.647145","12182.3999623","14454.838545399994","19562.034066329983","6486.415069531573","33797.876863","74950444","3643929"
"read-100-r2","read-mix","100k","100","3485","26.904221289824715","3483","26.88878127760674","8519","0","1","6077.298611","13195.6325074","15790.292090199999","21765.84156968","6909.8412039862205","36951.679175","71096868","3427813"
"read-100-r3","read-mix","100k","100","3666","28.434949424235537","3664","28.41943663131451","8336","0","1","5786.799353","12089.3576625","14387.34305575","19401.710072999995","6578.782995207021","30282.855321","73675088","3606514"
