"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-50-warmup","read-mix","10k","50","1502","49.25382152303994","1500","49.18823720676425",,"0","1","17.1832475","32.22851120000001","38.2128487","65.42735046","19.956476247003984","428.239791","16163754","1480387"
"read-50-r1","read-mix","10k","50","6002","49.96731604224228","6000","49.950665820302184",,"0","1","10.8692425","21.49846220000001","26.589370949999996","35.160871419999985","13.207033439186937","102.852492","63243830","5915755"
"read-50-r2","read-mix","10k","50","6003","49.98042276581575","6001","49.96377095080132",,"0","1","9.710573","19.324575","25.181508999999995","32.17611657999993","12.012035569881734","91.445526","63243684","5916742"
"read-50-r3","read-mix","10k","50","6002","49.980044639450874","6000","49.96339017605885",,"0","1","9.302053","18.862804300000004","24.4401646","29.83320178999998","11.51880444601801","83.293526","63190413","5915752"
"read-100-warmup","read-mix","10k","100","3003","99.7587268154635","3001","99.69228743696503",,"0","1","10.177123","21.988780000000016","25.8913191","32.832222400000006","12.434221690309673","84.211129","32319274","2959864"
"read-100-r1","read-mix","10k","100","12003","99.92087305688","12001","99.9042237403663",,"0","1","9.735264","21.261021400000022","25.7685718","34.56295145999996","12.135613207031664","95.903603","126670816","11831308"
"read-100-r2","read-mix","10k","100","12002","99.91325659595974","12000","99.89660716143283",,"0","1","9.6724995","20.354764199999998","25.282139849999968","33.58320510999999","12.006289117230489","121.369204","126389341","11830173"
"read-100-r3","read-mix","10k","100","12003","99.9322888025637","12001","99.91563758390127",,"0","1","9.901475","22.1399382","26.691022899999993","38.64231763999997","12.455505360743174","96.849889","126649101","11831323"
"read-200-warmup","read-mix","10k","200","6002","199.2015286508915","6000","199.13515026746902",,"0","1","10.0849975","25.754195400000036","36.88982489999999","144.84212076999992","16.65674368927034","740.760887","63600087","5916135"
"read-200-r1","read-mix","10k","200","20458","166.9581366560866","20456","166.94181461711347","3545","0.00004888063349301007","0.9999511193665069","1802.834999","3265.2903267","3773.75658605","4875.190425000003","1748.2269660743045","8071.546756","216043278","20164244"
"read-200-r2","read-mix","10k","200","21100","172.5571615231443","21098","172.54080539408994","2902","0","1","1882.6303444999999","3177.6929478000025","3652.5946175","4650.9802982799965","1921.8202300493367","7873.355293","223425905","20798836"
"read-200-r3","read-mix","10k","200","23621","193.71558606985292","23619","193.69918408974456","381","0","1","72.10959","1515.099299","1995.636242","2969.3819827999982","443.5587433612028","6108.639209","247773472","23280813"
"read-400-warmup","read-mix","10k","400","6748","198.6924441744837","6746","198.63355489049601","5255","0","1","3592.1286179999997","4785.1822765","5268.379923149999","6176.709765159999","3278.5527173453015","8504.584395","69733155","6646690"
"read-400-r1","read-mix","10k","400","24831","200.00372544493203","24829","199.98761624873012","23172","0","1","3780.071634","4918.434022","5362.538953","6268.560333800003","3773.5222620955333","10042.012656","256373491","24474971"
"read-400-r2","read-mix","10k","400","24583","198.28478510304876","24581","198.26865324077784","23420","0","1","3799.862946","4970.6997528","5375.267018799999","6284.34595392","3805.160424250455","9567.328161","253385170","24230414"
"read-400-r3","read-mix","10k","400","22880","183.23830070744563","22878","183.22228337346772","25123","0","1","4106.5838305","5370.307159600001","5796.90704905","6881.895343209999","4126.202112544761","12783.491774","235917026","22550014"
