"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-50-warmup","read-mix","100k","50","1503","49.283801130783594","1501","49.218220557089936",,"0","1","21.433975","98.19146319999997","272.77303589999985","664.0046629800006","56.11862819228209","900.448077","33952359","1525428"
"read-50-r1","read-mix","100k","50","5961","48.96202751168677","5959","48.94560005739666","41","0","1","20.450784","402.351628","681.384197","2442.6048847998745","158.87798875759105","6737.932346","123534133","6048530"
"read-50-r2","read-mix","100k","50","6003","49.95170448201638","6001","49.93506223497923",,"0","1","14.099956","59.64825380000001","232.45206739999998","432.52290995999635","39.63414098667337","1185.687713","131690414","6091804"
"read-50-r3","read-mix","100k","50","6002","49.90876574386878","6000","49.89213503219138",,"0","1","11.773166","53.49106370000002","231.88668179999988","415.9632719699983","36.70815981306237","737.548814","131150758","6090582"
"read-100-warmup","read-mix","100k","100","1979","55.02399879937602","1977","54.9683909178203","1023","0","1","2181.433238","5585.9735992","6811.4215637","10102.182909600002","2618.4453053031816","13994.097246","39224660","2004410"
"read-100-r1","read-mix","100k","100","5764","45.68195390169172","5762","45.666103119630066","6239","0","1","3392.1699550000003","7872.3498096","9858.664868749995","13664.668998869996","4010.078829383071","24085.902697","96306677","5846246"
"read-100-r2","read-mix","100k","100","6216","49.538178390197864","6214","49.52223946536189","5786","0","1","3088.292953","7291.4387895","8992.76505675","12658.709249150026","3638.089338908779","21380.344919","108259492","6304328"
"read-100-r3","read-mix","100k","100","6040","47.79646592288246","6038","47.78063927853714","5962","0","1","3278.008734","7473.578802300006","9241.2752098","12918.681251609978","3790.7337605936996","19454.649292","102713053","6126258"
