"runId","scenario","scale","targetRps","requestCount","requestRate","iterationCount","iterationRate","droppedIterations","errorRate","checkRate","p50Ms","p90Ms","p95Ms","p99Ms","avgMs","maxMs","receivedBytes","sentBytes"
"read-10-warmup","read-mix","100k","10","303","9.871368590116312","301","9.8062110416667",,"0","1","29.616379","70.55350020000002","256.0278826999998","307.7525652200002","49.22821051815184","567.58352","5458658","306864"
"read-10-r1","read-mix","100k","10","1202","10.005694289566517","1200","9.989045879766906",,"0","1","18.480398","49.216219699999996","222.85089125000005","280.7406834","35.457515629783636","342.981962","27597904","1219629"
"read-10-r2","read-mix","100k","10","1203","10.01464090226914","1201","9.997991457710087",,"0","1","16.228342","49.70460479999999","226.28781639999994","361.28403680000025","36.372642234413924","531.655559","27589386","1220623"
"read-10-r3","read-mix","100k","10","1203","10.015184275630606","1201","9.998533927707696",,"0","1","13.437329","49.3521102","224.53589579999985","284.64007452000004","34.07571929842064","445.847353","27621080","1220685"
"read-20-warmup","read-mix","100k","20","603","20.00933951551072","601","19.942973546968396",,"0","1","12.334806","46.023278600000005","214.85787939999997","254.2311822","31.99998869154226","378.425406","12188298","611641"
"read-20-r1","read-mix","100k","20","2403","19.979373620596462","2401","19.962744928444486",,"0","1","13.088204","46.611004600000044","216.27849220000004","284.49951990000005","32.79831477153568","622.965018","51538316","2438053"
"read-20-r2","read-mix","100k","20","2403","19.96769808911007","2401","19.95107911442084",,"0","1","10.3038","42.96843500000001","211.7935635","248.13752642000003","29.32211289013737","449.01847","51534568","2438078"
"read-20-r3","read-mix","100k","20","2403","19.969319710929724","2401","19.95269938657606",,"0","1","10.430218","43.4348862","210.25710570000004","251.33476232","29.399757695796943","403.811523","51865555","2438037"
